TaskID,TaskName,Category,Duration,RequiredSkills,PreferredPhases,MaxConcurrent
T001,UI Redesign,Frontend,3,"Frontend,React",1-3,2
T002,API Development,Backend,2,"Backend,Node.js","2,3,4",1
T003,Data Pipeline Setup,Data Engineering,4,"Python,SQL",1-4,1
T004,Customer Dashboard,Frontend,2,"Frontend,TypeScript","2,3",2
T005,Mobile App,Frontend,5,"React,TypeScript","1,2,3,4,5",1
T006,ML Model Development,Machine Learning,5,"Python,Machine Learning","2,3,4,5",1
T007,Database Optimization,Backend,2,"SQL,Python",1-2,2
T008,Infrastructure Setup,DevOps,2,"AWS,Docker","1,2",2
T009,Learning Platform UI,Frontend,3,"Frontend,React","2,3,4",1
T010,Analytics Dashboard,Data Analysis,3,"Python,Data Analysis",2-4,1
T011,Trading Algorithm,Backend,4,"Python,Machine Learning","1,2,3,4",1
T012,Compliance System,Backend,3,"Node.js,SQL","2,3,4",1
T013,Risk Analysis Tool,Data Analysis,4,"Python,SQL,Machine Learning",1-5,1